screen_name,Rep,Country,Region
DrLiAilan,Dr Ailan Li,Cambodia,WPRO
loyingru,Dr Yin-Ru Jacqueline Lo,Lao PDR,WPRO
drrabiwho,Dr Rabindra Romauld Abeyasinghe,Malaysia,WPRO
diord2003,Dr Sergey Diorditsa,Mongolia,WPRO
amaalsen,Ms Anna Alexandra Maalsen,Papua New Guinea,WPRO
kimevadickson,Dr Kim Eva Dickson,Samoa,WPRO
sevilhuseynova5,Dr Sevil Huseynova,Solomon Islands,WPRO
kidongpark2,Dr Kidong Park,Vietnam,WPRO
gauden,Dr Gauden Galea,China,WPRO
rphyadav,Dr Rajendra Yadav,Philippines,WPRO
NParanietharan,Dr Navaratnasamy Paranietharan,Indonesia,SEARO
PandavRajesh,Dr Rajesh Pandav,Nepal,SEARO
AMATHUR1007,Dr Arvind Mathur,Timor-Leste,SEARO
TasnimAtatrah,Dr Tasnim Atatrah,Bahrain,EMRO
ReneeVdWeerdt,Dr Reinhilde Theres Van De Weerdt,Djibouti,EMRO
NaeemaAlGasseer,Dr Naeema Al Gasseer,Egypt,EMRO
DrAhmedZouiten,Dr Ahmed Zouiten,Iraq,EMRO
DrAssadHafeez,Dr Assad Hafeez,Pakistan,EMRO
ImanShankiti,Dr Iman Shankiti,Lebanon,EMRO
maryam_bigdeli,Ms Maryam Bigdeli,Morocco,EMRO
DrJJabbour,Dr Jean Yaacoub Jabbour,Oman,EMRO
mamun567,Dr Mamunur Malik,Somalia,EMRO
DrAkjemal,Dr Akjemal Magtymova,Syrian Arab Republic,EMRO
joumanahermes,Dr Joumana George Hermez,Tunisia,EMRO
evajanellopis,Dr Eva Jane Llopis,Argentina,PAHO
gebrey,Dr Yitdes Gebre,Barbados & Eastern Carribean,PAHO
alma_moraleaf,Dr Alma Fabiola Salinas Morales,Bolivia,PAHO
socorro_gross,Dr Socorro Gross,Brazil,PAHO
ginatambini,Dr Gina Tambini,Colombia,PAHO
barrenecheo,Dr Oscar Martin Barreneche,Ecuador,PAHO
gescalanteguz,Dr Giovanni Escalante,El Salvador,PAHO
lilianreneau,Dr Lilian Reneau-Vernon,Guatemala,PAHO
Luiscodina3,Dr Luis Felipe Codina,Guyana,PAHO
